"Measures","Mean10Folds"
"accuracy",0.936382651754461
"average-precision",0.964834775226007
"clp",0
"coverage",0.104079512792054
"F1",0.940882637525257
"hamming-loss",0.0318086741227696
"macro-AUC",0.933064895338822
"macro-F1",0.868014605695356
"macro-precision",0.87452222457102
"macro-recall",0.884252854988149
"margin-loss",0.0963494977090981
"micro-AUC",0.964520980590899
"micro-F1",0.937415874976425
"micro-precision",0.928790054849988
"micro-recall",0.946438430234213
"mlp",0
"one-error",0.0597341984689376
"precision",0.938305728677538
"ranking-loss",0.0317959864158532
"recall",0.947959532143772
"subset-accuracy",0.922882694442073
"wlp",0.025
