"Measures","Mean10Folds"
"accuracy",0.942154016904295
"average-precision",0.967736050636994
"clp",0
"coverage",0.103930106149862
"F1",0.946666334651906
"hamming-loss",0.0289229915478528
"macro-AUC",0.935228356877283
"macro-F1",0.873051260482011
"macro-precision",0.879514914629499
"macro-recall",0.888579778065072
"margin-loss",0.0962000910669057
"micro-AUC",0.966477548164164
"micro-F1",0.943086262117391
"micro-precision",0.93614641822189
"micro-recall",0.950359998861664
"mlp",0
"one-error",0.0520390449358263
"precision",0.94503863228891
"ranking-loss",0.0317461842017891
"recall",0.952806354762515
"subset-accuracy",0.928617063661459
"wlp",0.025
