"Measures","SD10Folds"
"accuracy",0.0223008551307439
"average-precision",0.0161959676660445
"clp",0
"coverage",0.0565881024793846
"F1",0.021850286387877
"hamming-loss",0.0111504275653719
"macro-AUC",0.0442060584763687
"macro-F1",0.0746645160217247
"macro-precision",0.0796046541949811
"macro-recall",0.084705186277121
"margin-loss",0.0556636924511411
"micro-AUC",0.0135730887869472
"micro-F1",0.0218970884175559
"micro-precision",0.0248575076718287
"micro-recall",0.0240133536876144
"mlp",0
"one-error",0.0257523869940937
"precision",0.0223459285549579
"ranking-loss",0.0184437981828621
"recall",0.0228377097321741
"subset-accuracy",0.0259705806304698
"wlp",0.0790569415042095
